,RegionName,ProcessName,Timeslice,electricity,hfo,gas,geo,heat,CO2f,wind,cook,biomass,water,uranium,solar,coal,diesel,hydrogen,e_demand
4,Western,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.66666667
5,Western,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.66666667
0,Northwest,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.83333333
1,Northwest,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.83333333
2,Northwest,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.83333333
3,Northwest,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.83333333
4,Northwest,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.83333333
5,Northwest,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.83333333
0,Northwest,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.416666666
1,Northwest,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.416666666
2,Northwest,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.416666666
3,Northwest,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.416666666
4,Northwest,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.416666666
5,Northwest,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.416666666
0,North,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.83333333
1,North,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.83333333
2,North,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.83333333
3,North,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.83333333
4,North,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.83333333
5,North,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.83333333
0,North,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.416666667
1,North,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.416666667
2,North,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.416666667
3,North,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.416666667
4,North,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.416666667
5,North,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.416666667
0,Northeast,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.33333334
1,Northeast,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.33333334
2,Northeast,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.33333334
3,Northeast,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.33333334
4,Northeast,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.33333334
5,Northeast,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.33333334
0,Northeast,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.16666667
1,Northeast,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.16666667
2,Northeast,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.16666667
3,Northeast,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.16666667
4,Northeast,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.16666667
5,Northeast,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.16666667
0,BajaCalif,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666666666
1,BajaCalif,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666666666
2,BajaCalif,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666666666
3,BajaCalif,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666666666
4,BajaCalif,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666666666
5,BajaCalif,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666666666
0,BajaCalif,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333
1,BajaCalif,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333
2,BajaCalif,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333
3,BajaCalif,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333
4,BajaCalif,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333
5,BajaCalif,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333
0,BajaCalifSouth,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.166666667
1,BajaCalifSouth,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.166666667
2,BajaCalifSouth,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.166666667
3,BajaCalifSouth,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.166666667
4,BajaCalifSouth,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.166666667
5,BajaCalifSouth,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.166666667
0,BajaCalifSouth,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583333334
1,BajaCalifSouth,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583333334
2,BajaCalifSouth,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583333334
3,BajaCalifSouth,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583333334
4,BajaCalifSouth,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583333334
5,BajaCalifSouth,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583333334
0,Peninsular,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,Peninsular,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,Peninsular,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,Peninsular,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4,Peninsular,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
5,Peninsular,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,Peninsular,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000001
1,Peninsular,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000001
2,Peninsular,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000001
3,Peninsular,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000001
4,Peninsular,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000001
5,Peninsular,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000001
