ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2,Agent1
Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,Retrofit,New
livestock_milk,Northeast,2020,fixed,10.1,1,2.02,1,0,1,3.92E+11,100000,430910639.6,25,1,0.01,90,0.1,food,diesel,milk,1,0
livestock_other,Northeast,2020,fixed,10.1,1,2.02,1,0,1,5.50E+10,100000,430910639.6,25,1,0.01,90,0.1,food,diesel,other_agri,1,0
agrTraditionalCropping_fruits,BajaCalif,2020,fixed,5.05,1,1.01,1,0,1,7.26E+08,100000,3400000,20,1,0.01,60,0.1,food,diesel,fruits,1,0
agrModernCropping_fruits,BajaCalif,2020,fixed,15.15,1,3.03,1,0,1,4.48E+10,100000,603208880.5,30,1,0.01,75,0.1,food,diesel,fruits,1,0
agrTraditionalCropping_vegt,BajaCalif,2020,fixed,5.05,1,1.01,1,0,1,1.51E+08,100000,3400000,20,1,0.01,60,0.1,food,diesel,vegt,1,0
agrModernCropping_vegt,BajaCalif,2020,fixed,15.15,1,3.03,1,0,1,9.29E+09,100000,603208880.5,30,1,0.01,75,0.1,food,diesel,vegt,1,0
agrTraditionalCropping_seeds,BajaCalif,2020,fixed,5.05,1,1.01,1,0,1,1.03E+07,100000,3400000,20,1,0.01,60,0.1,food,diesel,seeds,1,0
agrModernCropping_seeds,BajaCalif,2020,fixed,15.15,1,3.03,1,0,1,6.33E+08,100000,603208880.5,30,1,0.01,75,0.1,food,diesel,seeds,1,0
agrTraditionalCropping_plants,BajaCalif,2020,fixed,5.05,1,1.01,1,0,1,8.23E+07,100000,3400000,20,1,0.01,60,0.1,food,diesel,plants,1,0
agrModernCropping_plants,BajaCalif,2020,fixed,15.15,1,3.03,1,0,1,1.06E+08,100000,603208880.5,30,1,0.01,75,0.1,food,diesel,plants,1,0
livestock_meat,BajaCalif,2020,fixed,10.1,1,2.02,1,0,1,7.06E+10,100000,430910639.6,25,1,0.01,90,0.1,food,diesel,livestock,1,0
livestock_milk,BajaCalif,2020,fixed,10.1,1,2.02,1,0,1,5.24E+10,100000,430910639.6,25,1,0.01,90,0.1,food,diesel,milk,1,0
livestock_other,BajaCalif,2020,fixed,10.1,1,2.02,1,0,1,1.16E+10,100000,430910639.6,25,1,0.01,90,0.1,food,diesel,other_agri,1,0
agrTraditionalCropping_fruits,BajaCalifSouth,2020,fixed,5.05,1,1.01,1,0,1,7.39E+08,100000,3400000,20,1,0.01,60,0.1,food,diesel,fruits,1,0
agrModernCropping_fruits,BajaCalifSouth,2020,fixed,15.15,1,3.03,1,0,1,4.56E+10,100000,603208880.5,30,1,0.01,75,0.1,food,diesel,fruits,1,0
agrTraditionalCropping_vegt,BajaCalifSouth,2020,fixed,5.05,1,1.01,1,0,1,7.69E+07,100000,3400000,20,1,0.01,60,0.1,food,diesel,vegt,1,0
agrModernCropping_vegt,BajaCalifSouth,2020,fixed,15.15,1,3.03,1,0,1,4.75E+09,100000,603208880.5,30,1,0.01,75,0.1,food,diesel,vegt,1,0
agrTraditionalCropping_seeds,BajaCalifSouth,2020,fixed,5.05,1,1.01,1,0,1,1.77E+07,100000,3400000,20,1,0.01,60,0.1,food,diesel,seeds,1,0
