ProcessName,RegionName,Time,Level,cap_exp,fix_exp,var_par,var_exp,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,AgentShare
Unit,-,Year,-,-,-,MUS$2010/PJ,-,Years,-,PJ,%,-,-,-,-,
CC_GAS,Central,2020,fixed,1,1,0.277777778,1,35,0.95,0.00000189,58.33333333,0.1,energy,gas,electricity,1
CC_OIL,Central,2020,fixed,1,1,0.277777778,1,30,0.95,0.00000189,38.66666667,0.1,energy,hfo,electricity,1
COAL,Central,2020,fixed,1,1,0.277777778,1,40,0.95,0.00000189,39.58333333,0.1,energy,coal,electricity,1
COAL_CCS,Central,2020,fixed,1,1,0.277777778,1,40,0.95,0.00000189,32.66666667,0.1,energy,coal,electricity,1
CSP,Central,2020,fixed,1,1,0.277777778,1,40,0.95,0.00000189,100,0.1,energy,solar,electricity,1
FB,Central,2020,fixed,1,1,0.277777778,1,40,0.95,0.00000189,41.58333333,0.1,energy,coal,electricity,1
FC_H2,Central,2020,fixed,1,1,0.277777778,1,1,0.95,0.00000189,60,0.1,energy,hydrogen,electricity,1
GAS_CC_CCS,Central,2020,fixed,1,1,0.277777778,1,35,0.95,0.00000189,58.33333333,0.1,energy,gas,electricity,1
GEOTH,Central,2020,fixed,1,1,0.277777778,1,35,0.95,0.00000189,10,0.1,energy,geo,electricity,1
HYD_LS,Central,2020,fixed,1,1,0.277777778,1,60,0.95,0.00000189,100,0.1,energy,water,electricity,1
HYD_SS,Central,2020,fixed,1,1,0.277777778,1,60,0.95,0.00000189,100,0.1,energy,water,electricity,1
NUCL,Central,2020,fixed,1,1,0.277777778,1,60,0.95,0.00000189,36.33333333,0.1,energy,uranium,electricity,1
OC_GAS,Central,2020,fixed,1,1,0.277777778,1,35,0.95,0.00000189,38.66666667,0.1,energy,gas,electricity,1
OC_OIL,Central,2020,fixed,1,1,0.277777778,1,30,0.95,0.00000189,38.66666667,0.1,energy,hfo,electricity,1
OFF_WIND,Central,2020,fixed,1,1,0.277777778,1,25,0.95,0.00000189,100,0.1,energy,wind,electricity,1
ON_WIND,Central,2020,fixed,1,1,0.277777778,1,25,0.95,0.00000189,100,0.1,energy,wind,electricity,1
PV_GND,Central,2020,fixed,1,1,0.277777778,1,20,0.95,0.00000189,100,0.1,energy,solar,electricity,1
PV_SSG,Central,2020,fixed,1,1,0.277777778,1,20,0.95,0.00000189,100,0.1,energy,solar,electricity,1
BIO,Eastern,2020,fixed,1,1,0.277777778,1,40,0.95,0.00000189,30,0.1,energy,biomass,electricity,1
BIO_CCS,Eastern,2020,fixed,1,1,0.277777778,1,40,0.95,0.00000189,30.33333333,0.1,energy,biomass,electricity,1
C_H2,Eastern,2020,fixed,1,1,0.277777778,1,35,0.95,0.00000189,38.66666667,0.1,energy,hydrogen,electricity,1
CC_GAS,Eastern,2020,fixed,1,1,0.277777778,1,35,0.95,0.00000189,58.33333333,0.1,energy,gas,electricity,1
CC_OIL,Eastern,2020,fixed,1,1,0.277777778,1,30,0.95,0.00000189,38.66666667,0.1,energy,hfo,electricity,1
COAL,Eastern,2020,fixed,1,1,0.277777778,1,40,0.95,0.00000189,39.58333333,0.1,energy,coal,electricity,1
COAL_CCS,Eastern,2020,fixed,1,1,0.277777778,1,40,0.95,0.00000189,32.66666667,0.1,energy,coal,electricity,1
CSP,Eastern,2020,fixed,1,1,0.277777778,1,40,0.95,0.00000189,100,0.1,energy,solar,electricity,1
FB,Eastern,2020,fixed,1,1,0.277777778,1,40,0.95,0.00000189,41.58333333,0.1,energy,coal,electricity,1
FC_H2,Eastern,2020,fixed,1,1,0.277777778,1,1,0.95,0.00000189,60,0.1,energy,hydrogen,electricity,1
GAS_CC_CCS,Eastern,2020,fixed,1,1,0.277777778,1,35,0.95,0.00000189,58.33333333,0.1,energy,gas,electricity,1
GEOTH,Eastern,2020,fixed,1,1,0.277777778,1,35,0.95,0.00000189,10,0.1,energy,geo,electricity,1
HYD_LS,Eastern,2020,fixed,1,1,0.277777778,1,60,0.95,0.00000189,100,0.1,energy,water,electricity,1
HYD_SS,Eastern,2020,fixed,1,1,0.277777778,1,60,0.95,0.00000189,100,0.1,energy,water,electricity,1
NUCL,Eastern,2020,fixed,1,1,0.277777778,1,60,0.95,0.00000189,36.33333333,0.1,energy,uranium,electricity,1
OC_GAS,Eastern,2020,fixed,1,1,0.277777778,1,35,0.95,0.00000189,38.66666667,0.1,energy,gas,electricity,1
OC_OIL,Eastern,2020,fixed,1,1,0.277777778,1,30,0.95,0.00000189,38.66666667,0.1,energy,hfo,electricity,1
OFF_WIND,Eastern,2020,fixed,1,1,0.277777778,1,25,0.95,0.00000189,100,0.1,energy,wind,electricity,1
ON_WIND,Eastern,2020,fixed,1,1,0.277777778,1,25,0.95,0.00000189,100,0.1,energy,wind,electricity,1
