ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050
passengertrain_diesel,Central,PJ/y,0.57,0.43,0.29,0.14,0.00,0.00,0.00
passengertrain_electric,Central,PJ/y,0.00,0.00,0.00,0.00,0.00,0.00,0.00
passengertrain_hydrogenfc,Central,PJ/y,0.00,0.00,0.00,0.00,0.00,0.00,0.00
passengertrain_addtrackelec,Central,PJ/y,0.00,0.00,0.00,0.00,0.00,0.00,0.00
freighttrain_diesel,Central,PJ/y,7.54,5.65,3.77,1.88,0.00,0.00,0.00
freighttrain_electric,Central,PJ/y,0.08,0.06,0.04,0.02,0.00,0.00,0.00
freighttrain_hydrogenfc,Central,PJ/y,0.00,0.00,0.00,0.00,0.00,0.00,0.00
freighttrain_addtrackelec,Central,PJ/y,0.00,0.00,0.00,0.00,0.00,0.00,0.00
freighttrain_coal,Central,PJ/y,0.00,0.00,0.00,0.00,0.00,0.00,0.00
shipping_heavyoil,Central,PJ/y,0.00,0.00,0.00,0.00,0.00,0.00,0.00
passengerjet_kerosene,Central,PJ/y,47.41,35.56,23.71,11.85,0.00,0.00,0.00
freightjet_kerosene,Central,PJ/y,7.06,5.30,3.53,1.77,0.00,0.00,0.00
cars_petrol,Eastern,PJ/y,181.04,135.78,90.52,45.26,0.00,0.00,0.00
cars_lpg,Eastern,PJ/y,1.04,0.78,0.52,0.26,0.00,0.00,0.00
cars_hybridpetrol,Eastern,PJ/y,4.16,3.12,2.08,1.04,0.00,0.00,0.00
cars_diesel,Eastern,PJ/y,12.49,9.36,6.24,3.12,0.00,0.00,0.00
cars_hybriddiesel,Eastern,PJ/y,2.08,1.56,1.04,0.52,0.00,0.00,0.00
cars_pluginhybriddiesel,Eastern,PJ/y,2.08,1.56,1.04,0.52,0.00,0.00,0.00
cars_hydrogenfc,Eastern,PJ/y,0.00,0.00,0.00,0.00,0.00,0.00,0.00
cars_hybridhydrogenfc,Eastern,PJ/y,0.00,0.00,0.00,0.00,0.00,0.00,0.00
cars_pluginhybridhydrogenfc,Eastern,PJ/y,0.00,0.00,0.00,0.00,0.00,0.00,0.00
cars_hybridliquidhydrogen,Eastern,PJ/y,0.00,0.00,0.00,0.00,0.00,0.00,0.00
cars_cng,Eastern,PJ/y,0.00,0.00,0.00,0.00,0.00,0.00,0.00
cars_flexiblefuel,Eastern,PJ/y,0.00,0.00,0.00,0.00,0.00,0.00,0.00
cars_battery,Eastern,PJ/y,4.16,3.12,2.08,1.04,0.00,0.00,0.00
bus_diesel,Eastern,PJ/y,13.86,10.39,6.93,3.46,0.00,0.00,0.00
bus_hybriddiesel,Eastern,PJ/y,1.73,1.30,0.87,0.43,0.00,0.00,0.00
bus_battery,Eastern,PJ/y,1.73,1.30,0.87,0.43,0.00,0.00,0.00
bus_cng,Eastern,PJ/y,1.73,1.30,0.87,0.43,0.00,0.00,0.00
bus_hybridhydrogenfc,Eastern,PJ/y,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lightlorry_diesel,Eastern,PJ/y,13.86,10.39,6.93,3.46,0.00,0.00,0.00
lightlorry_petrol,Eastern,PJ/y,13.86,10.39,6.93,3.46,0.00,0.00,0.00
lightlorry_hybridhydrogenfc,Eastern,PJ/y,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lightlorry_hybridliquidhydrogen,Eastern,PJ/y,0.00,0.00,0.00,0.00,0.00,0.00,0.00
