year,asset,dst_region,region,technology,installed,capacity
2035,70,Peninsular,Peninsular,CC_GAS,2020,44.34910000000
2035,72,Peninsular,Peninsular,CC_OIL,2020,4.62700000000
2035,73,Peninsular,Peninsular,OC_GAS,2020,3.08610000000
2035,74,Peninsular,Peninsular,OC_OIL,2020,1.99500000000
2035,75,Peninsular,Peninsular,ON_WIND,2020,15.63550000000
2035,77,Peninsular,Peninsular,PV_GND,2020,3.41980000000
2035,79,Peninsular,Peninsular,PV_SSG,2020,8.48610000000
2035,80,Western,Western,BIO,2020,7.39460000000
2035,82,Western,Western,CC_GAS,2020,157.42960000000
2035,84,Western,Western,GEOTH,2020,3.27970000000
2035,85,Western,Western,HYD_LS,2020,177.25940000000
2035,86,Western,Western,OC_GAS,2020,32.38430000000
2035,87,Western,Western,OC_OIL,2020,0.81680000000
2035,88,Western,Western,ON_WIND,2020,41.85330000000
2035,89,Western,Western,PV_GND,2020,143.01770000000
2035,90,Western,Western,PV_SSG,2020,48.69910000000
2040,0,BajaCalif,BajaCalif,CC_GAS,2020,47.28570000000
2040,2,BajaCalif,BajaCalif,OC_GAS,2020,16.81310000000
2040,5,BajaCalif,BajaCalif,ON_WIND,2020,11.73140000000
2040,8,BajaCalif,BajaCalif,PV_SSG,2020,4.22580000000
2040,9,BajaCalifSouth,BajaCalifSouth,OC_GAS,2020,2.90130000000
2040,11,BajaCalifSouth,BajaCalifSouth,OC_OIL,2020,1.26140000000
2040,14,BajaCalifSouth,BajaCalifSouth,PV_GND,2020,1.57680000000
2040,15,BajaCalifSouth,BajaCalifSouth,PV_SSG,2020,1.07200000000
2040,16,Central,Central,BIO,2020,2.12300000000
2040,17,Central,Central,CC_GAS,2020,77.11810000000
2040,19,Central,Central,HYD_LS,2020,18.85220000000
2040,20,Central,Central,OC_GAS,2020,17.68980000000
2040,21,Central,Central,OC_OIL,2020,0.37840000000
2040,23,Central,Central,PV_GND,2020,1.34600000000
2040,24,Central,Central,PV_SSG,2020,15.16090000000
2040,25,Eastern,Eastern,BIO,2020,11.33910000000
2040,26,Eastern,Eastern,CC_GAS,2020,57.91080000000
2040,29,Eastern,Eastern,HYD_LS,2020,18.15210000000
2040,30,Eastern,Eastern,NUCL,2020,103.05960000000
2040,31,Eastern,Eastern,OC_GAS,2020,14.90830000000
2040,32,Eastern,Eastern,OC_OIL,2020,0.41380000000
2040,33,Eastern,Eastern,ON_WIND,2020,54.19270000000
