dst_region,year,asset,region,technology,installed,capacity
Eastern,2085,34,Eastern,HYD_LS,2020,8.68850000000
Eastern,2085,35,Eastern,NUCL,2020,51.52980000000
Eastern,2089,34,Eastern,HYD_LS,2020,8.68850000000
Eastern,2089,35,Eastern,NUCL,2020,51.52980000000
Eastern,2090,34,Eastern,HYD_LS,2020,8.68850000000
Eastern,2090,35,Eastern,NUCL,2020,51.52980000000
Western,2025,87,Western,BIO,2020,12.72410000000
Western,2025,89,Western,CC_GAS,2020,407.19090000000
Western,2025,91,Western,CC_OIL,2020,44.55410000000
Western,2025,92,Western,FB,2020,36.58180000000
Western,2025,93,Western,GEOTH,2020,19.19660000000
Western,2025,94,Western,HYD_LS,2020,297.75600000000
Western,2025,95,Western,OC_GAS,2020,181.07850000000
Western,2025,96,Western,OC_OIL,2020,16.19750000000
Western,2025,97,Western,ON_WIND,2020,41.85330000000
Western,2025,98,Western,PV_GND,2020,144.90980000000
Western,2025,99,Western,PV_SSG,2020,48.69910000000
Western,2030,87,Western,BIO,2020,7.39460000000
Western,2030,89,Western,CC_GAS,2020,203.35230000000
Western,2030,93,Western,GEOTH,2020,3.27970000000
Western,2030,94,Western,HYD_LS,2020,177.25940000000
Western,2030,95,Western,OC_GAS,2020,43.58840000000
Western,2030,96,Western,OC_OIL,2020,4.45480000000
Western,2030,97,Western,ON_WIND,2020,41.85330000000
Western,2030,98,Western,PV_GND,2020,143.01770000000
Western,2030,99,Western,PV_SSG,2020,48.69910000000
Western,2035,87,Western,BIO,2020,7.39460000000
Western,2035,89,Western,CC_GAS,2020,157.42960000000
Western,2035,93,Western,GEOTH,2020,3.27970000000
Western,2035,94,Western,HYD_LS,2020,177.25940000000
Western,2035,95,Western,OC_GAS,2020,32.38430000000
Western,2035,96,Western,OC_OIL,2020,0.81680000000
Western,2035,97,Western,ON_WIND,2020,41.85330000000
Western,2035,98,Western,PV_GND,2020,143.01770000000
Western,2035,99,Western,PV_SSG,2020,48.69910000000
Western,2040,87,Western,BIO,2020,3.42670000000
Western,2040,89,Western,CC_GAS,2020,82.62500000000
Western,2040,93,Western,GEOTH,2020,3.27970000000
Western,2040,94,Western,HYD_LS,2020,177.25940000000
Western,2040,95,Western,OC_GAS,2020,31.08500000000
Western,2040,97,Western,ON_WIND,2020,25.16450000000
Western,2040,98,Western,PV_GND,2020,142.90600000000
Western,2040,99,Western,PV_SSG,2020,48.69910000000
Western,2044,87,Western,BIO,2020,0.68530000000
Western,2044,89,Western,CC_GAS,2020,77.57920000000
Western,2044,93,Western,GEOTH,2020,3.27970000000
Western,2044,94,Western,HYD_LS,2020,116.71030000000
Western,2044,95,Western,OC_GAS,2020,6.21700000000
Western,2044,97,Western,ON_WIND,2020,5.03290000000
Western,2044,98,Western,PV_GND,2020,31.97800000000
Western,2044,99,Western,PV_SSG,2020,25.21260000000
Western,2045,89,Western,CC_GAS,2020,76.31780000000
Western,2045,93,Western,GEOTH,2020,3.27970000000
Western,2045,94,Western,HYD_LS,2020,101.57300000000
Western,2045,98,Western,PV_GND,2020,4.24600000000
Western,2045,99,Western,PV_SSG,2020,19.34100000000
Western,2049,89,Western,CC_GAS,2020,59.38870000000
Western,2049,93,Western,GEOTH,2020,0.65590000000
Western,2049,94,Western,HYD_LS,2020,101.57300000000
Western,2049,98,Western,PV_GND,2020,0.84920000000
Western,2049,99,Western,PV_SSG,2020,3.86820000000
Western,2050,89,Western,CC_GAS,2020,55.15650000000
Western,2050,94,Western,HYD_LS,2020,101.57300000000
Western,2054,89,Western,CC_GAS,2020,47.27700000000
Western,2054,94,Western,HYD_LS,2020,87.06260000000
Western,2055,89,Western,CC_GAS,2020,45.30710000000
Western,2055,94,Western,HYD_LS,2020,83.43500000000
Western,2059,89,Western,CC_GAS,2020,37.42760000000
Western,2059,94,Western,HYD_LS,2020,68.92460000000
Western,2060,89,Western,CC_GAS,2020,35.45770000000
Western,2060,94,Western,HYD_LS,2020,65.29700000000
Western,2064,89,Western,CC_GAS,2020,27.57820000000
Western,2064,94,Western,HYD_LS,2020,50.78650000000
Western,2065,89,Western,CC_GAS,2020,27.57820000000
Western,2065,94,Western,HYD_LS,2020,50.78650000000
Western,2069,89,Western,CC_GAS,2020,27.57820000000
Western,2069,94,Western,HYD_LS,2020,50.78650000000
Western,2070,89,Western,CC_GAS,2020,27.57820000000
