dst_region,asset,year,region,technology,installed,capacity
Central,15,2059,Central,GAS_GT,2020,23.44440000000
Central,15,2060,Central,GAS_GT,2020,23.44440000000
Central,15,2064,Central,GAS_GT,2020,23.44440000000
Central,15,2065,Central,GAS_GT,2020,23.44440000000
Central,17,2035,Central,HYD,2020,2.15530000000
Central,17,2040,Central,HYD,2020,1.61650000000
Central,17,2045,Central,HYD,2020,1.21230000000
Central,17,2049,Central,HYD,2020,0.96990000000
Central,17,2050,Central,HYD,2020,0.90930000000
Central,17,2054,Central,HYD,2020,0.45460000000
Central,17,2055,Central,HYD,2020,0.45460000000
Central,17,2059,Central,HYD,2020,0.45460000000
Central,17,2060,Central,HYD,2020,0.45460000000
Central,17,2064,Central,HYD,2020,0.45460000000
Central,17,2065,Central,HYD,2020,0.45460000000
Central,18,2035,Central,OIL,2020,3.67200000000
Central,18,2040,Central,OIL,2020,2.75400000000
Central,18,2045,Central,OIL,2020,2.06550000000
Central,18,2049,Central,OIL,2020,1.65240000000
Central,18,2050,Central,OIL,2020,1.54910000000
Central,18,2054,Central,OIL,2020,0.77460000000
Central,18,2055,Central,OIL,2020,0.77460000000
Central,18,2059,Central,OIL,2020,0.77460000000
Central,18,2060,Central,OIL,2020,0.77460000000
Central,18,2064,Central,OIL,2020,0.77460000000
Central,18,2065,Central,OIL,2020,0.77460000000
Central,19,2035,Central,PV_GND,2020,0.55880000000
Central,19,2040,Central,PV_GND,2020,0.41910000000
Central,19,2045,Central,PV_GND,2020,0.31430000000
Central,19,2049,Central,PV_GND,2020,0.25150000000
Central,19,2050,Central,PV_GND,2020,0.23570000000
Central,19,2054,Central,PV_GND,2020,0.11790000000
Central,19,2055,Central,PV_GND,2020,0.11790000000
Central,19,2059,Central,PV_GND,2020,0.11790000000
Central,19,2060,Central,PV_GND,2020,0.11790000000
Central,19,2064,Central,PV_GND,2020,0.11790000000
Central,19,2065,Central,PV_GND,2020,0.11790000000
Central,24,2035,Eastern,GAS_GT,2025,10275.01120000000
Central,24,2040,Eastern,GAS_GT,2025,10275.01120000000
Central,24,2045,Eastern,GAS_GT,2025,10275.01120000000
Central,24,2049,Eastern,GAS_GT,2025,10275.01120000000
Central,24,2050,Eastern,GAS_GT,2025,10275.01120000000
