ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050,2055
resCookingLPG,BajaCalifSouth,PJ/y,0.000752757,0.00049682,0.00024841,7.53E-05,0,0,0,0
resMicroCHPHydrogen,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
resLightingEnergySaving,Central,PJ/y,35.10689451,23.17055038,11.58527519,3.510689451,0,0,0,0
resLightingCon,Central,PJ/y,13.37405505,8.826876335,4.413438168,1.337405505,0,0,0,0
resLightingLED,Central,PJ/y,35.10689451,23.17055038,11.58527519,3.510689451,0,0,0,0
resAppliancesCon,Central,PJ/y,38.57288824,25.45810624,12.72905312,3.857288824,0,0,0,0
resAppliancesAdv,Central,PJ/y,0,0,0,0,0,0,0,0
resCookingElec,Central,PJ/y,0.176808621,0.11669369,0.058346845,0.017680862,0,0,0,0
resCookingNG,Central,PJ/y,0.000589362,0.000388979,0.000194489,5.89E-05,0,0,0,0
resCookingBiomass,Central,PJ/y,28.99661387,19.13776515,9.568882576,2.899661387,0,0,0,0
resCookingKerosene,Central,PJ/y,0.206276725,0.136142638,0.068071319,0.020627672,0,0,0,0
resCookingCoal,Central,PJ/y,0,0,0,0,0,0,0,0
resAC,Central,PJ/y,0.754652159,0.498070425,0.249035213,0.075465216,0,0,0,0
resBoilerNG,Central,PJ/y,8.781013938,5.795469199,2.897734599,0.878101394,0,0,0,0
resBoilerElectric,Central,PJ/y,0.798273994,0.526860836,0.263430418,0.079827399,0,0,0,0
resBoilerBiomass,Central,PJ/y,1.330456657,0.878101394,0.439050697,0.133045666,0,0,0,0
resBoilerNG_solarT,Central,PJ/y,0,0,0,0,0,0,0,0
resBoilerElectriciy_solarT,Central,PJ/y,0,0,0,0,0,0,0,0
resBoilerBiomass_solarT,Central,PJ/y,0,0,0,0,0,0,0,0
resASHeatPump,Central,PJ/y,0.665228329,0.439050697,0.219525348,0.066522833,0,0,0,0
resGSHeatPump,Central,PJ/y,0.186263932,0.122934195,0.061467098,0.018626393,0,0,0,0
resASHeatPump_solarT,Central,PJ/y,0,0,0,0,0,0,0,0
resGSHeatPump_solarT,Central,PJ/y,0,0,0,0,0,0,0,0
