RegionName,Attribute,Time,electricity,hfo,gas,geo,heat,hydrogen,wind,cook,biomass,water,uranium,solar,coal,diesel,biodiesel,ethanol,steel,cement,chemicals,minerals,pulp_paper,glass,sugar,beer,vehicles,construction,bevergaes,rubber,fertilizers,tobaco,other_ind,cars,buses,psg_rail,psg_air,psg_mar,lorries,cargo_rail,cargo_air,cargo_mar,light,heating,cool,hwater,cook,appl,fruits,vegt,livestock,milk,other_agr,seeds,plants,CO2f
Unit,-,Year,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ
Eastern,CommodityPrice,2050,24.06481472,22,9.009608674,0,100,150,0,0,3.441131735,0,143.1038454,0,4.931672399,26.60429788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435139285
Eastern,CommodityPrice,2055,25.3425925,23,8.832625604,0,100,150,0,0,3.682010957,0,157.4142299,0,5.178256019,28.99868469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.542365578
Eastern,CommodityPrice,2060,25.53703694,24,8.655642534,0,100,150,0,0,3.939751724,0,173.1556529,0,5.437168819,31.60856631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649591871
Eastern,CommodityPrice,2065,25.32407417,25,8.485612708,0,100,150,0,0,4.215534345,0,190.4712182,0,5.70902726,34.45333728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.780892624
Eastern,CommodityPrice,2070,23.36111111,26,8.315582883,0,100,150,0,0,4.510621749,0,209.51834,0,5.994478623,37.55413763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.912193378
Eastern,CommodityPrice,2075,22.27777778,27,8.152233126,0,100,150,0,0,4.826365271,0,230.470174,0,6.294202555,40.93401002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.078321687
Eastern,CommodityPrice,2080,22.25925917,28,7.988883368,0,100,150,0,0,5.16421084,0,253.5171914,0,6.608912682,44.61807092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244449995
Eastern,CommodityPrice,2085,22.17592583,29,7.831951236,0,100,150,0,0,5.525705599,0,278.8689105,0,6.939358316,48.63369731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4253503
Eastern,CommodityPrice,2090,22.03703694,30,7.675019103,0,100,150,0,0,5.912504991,0,306.7558016,0,7.286326232,53.01073006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.606250604
Eastern,CommodityPrice,2095,21.94444444,31,7.524252461,0,100,150,0,0,6.32638034,0,337.4313818,0,7.650642544,57.78169577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73877515
Eastern,CommodityPrice,2100,21.39814806,32,7.373485819,0,100,150,0,0,6.769226964,0,371.1745199,0,8.033174671,62.98204839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.871299697
