,RegionName,ProcessName,Timeslice,electricity,hfo,gas,geo,heat,CO2f,wind,cook,biomass,water,uranium,solar,coal,diesel,e_demand
0,Western,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.03795472
1,Western,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.07590944
2,Western,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.1897736
3,Western,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.03795472
4,Western,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.51897736
5,Western,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.51897736
0,Northwest,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.51209824
1,Northwest,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.67473216
2,Northwest,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.1868304
3,Northwest,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.83736608
4,Northwest,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91868304
5,Northwest,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91868304
0,Northwest,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.75604912
1,Northwest,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.83736608
2,Northwest,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5934152
3,Northwest,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91868304
4,Northwest,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45934152
5,Northwest,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45934152
0,North,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.13455328
1,North,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.42303552
2,North,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5575888
3,North,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.71151776
4,North,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35575888
5,North,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35575888
0,North,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.06727664
1,North,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.71151776
2,North,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.7787944
3,North,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35575888
4,North,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67787944
5,North,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67787944
0,Northeast,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.00023616
1,Northeast,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0004723
2,Northeast,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.0011808
3,Northeast,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.00023616
4,Northeast,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.00011808
5,Northeast,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.00011808
0,Northeast,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.00011808
1,Northeast,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.00023616
2,Northeast,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0005904
3,Northeast,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.00011808
4,Northeast,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00005904
5,Northeast,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00005904
0,BajaCalif,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.93955584
1,BajaCalif,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.62637056
2,BajaCalif,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5659264
3,BajaCalif,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.31318528
4,BajaCalif,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65659264
5,BajaCalif,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65659264
0,BajaCalif,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.96977792
1,BajaCalif,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.31318528
2,BajaCalif,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2829632
3,BajaCalif,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65659264
4,BajaCalif,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32829632
5,BajaCalif,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32829632
0,BajaCalifSouth,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09274208
1,BajaCalifSouth,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72849472
