technology,dst_region,region,agent,sector,type,year,capacity
comBoilerElectric,BajaCalif,BajaCalif,A2,commercial,retrofit,2020,270.00000000000
comCookingElec,BajaCalif,BajaCalif,A2,commercial,retrofit,2020,429.00000000000
comHWaterElec,BajaCalif,BajaCalif,A2,commercial,retrofit,2020,178.00000000000
comLightingFluorescent,BajaCalif,BajaCalif,A2,commercial,retrofit,2020,87.00000000000
comLightingLED,BajaCalif,BajaCalif,A2,commercial,retrofit,2020,511.00000000000
comLightingOtherCCL,BajaCalif,BajaCalif,A2,commercial,retrofit,2020,33.00000000000
comAC,BajaCalifSouth,BajaCalifSouth,A2,commercial,retrofit,2020,873.00000000000
comAppliancesCon,BajaCalifSouth,BajaCalifSouth,A2,commercial,retrofit,2020,270.00000000000
comBoilerElectric,BajaCalifSouth,BajaCalifSouth,A2,commercial,retrofit,2020,90.00000000000
comCookingElec,BajaCalifSouth,BajaCalifSouth,A2,commercial,retrofit,2020,108.00000000000
comHWaterElec,BajaCalifSouth,BajaCalifSouth,A2,commercial,retrofit,2020,38.00000000000
comLightingFluorescent,BajaCalifSouth,BajaCalifSouth,A2,commercial,retrofit,2020,19.00000000000
comLightingLED,BajaCalifSouth,BajaCalifSouth,A2,commercial,retrofit,2020,119.00000000000
comLightingOtherCCL,BajaCalifSouth,BajaCalifSouth,A2,commercial,retrofit,2020,7.00000000000
comAC,Peninsular,Peninsular,A2,commercial,retrofit,2020,761.00000000000
comAppliancesCon,Peninsular,Peninsular,A2,commercial,retrofit,2020,692.00000000000
comBoilerElectric,Peninsular,Peninsular,A2,commercial,retrofit,2020,241.00000000000
comCookingElec,Peninsular,Peninsular,A2,commercial,retrofit,2020,574.00000000000
comHWaterElec,Peninsular,Peninsular,A2,commercial,retrofit,2020,219.00000000000
comLightingFluorescent,Peninsular,Peninsular,A2,commercial,retrofit,2020,45.00000000000
comLightingLED,Peninsular,Peninsular,A2,commercial,retrofit,2020,581.00000000000
comLightingOtherCCL,Peninsular,Peninsular,A2,commercial,retrofit,2020,9.00000000000
indr_tec,Central,Central,A1,industry,retrofit,2020,41.79780000000
indr_tec2,Central,Central,A1,industry,retrofit,2020,20.89890000000
indr_tec,Eastern,Eastern,A1,industry,retrofit,2020,162.67850000000
indr_tec2,Eastern,Eastern,A1,industry,retrofit,2020,81.33920000000
indr_tec,Western,Western,A1,industry,retrofit,2020,141.98300000000
indr_tec2,Western,Western,A1,industry,retrofit,2020,70.99150000000
indr_tec,Northwest,Northwest,A1,industry,retrofit,2020,69.18680000000
indr_tec2,Northwest,Northwest,A1,industry,retrofit,2020,34.59340000000
indr_tec,North,North,A1,industry,retrofit,2020,53.55760000000
indr_tec2,North,North,A1,industry,retrofit,2020,26.77880000000
indr_tec,Northeast,Northeast,A1,industry,retrofit,2020,150.00100000000
indr_tec2,Northeast,Northeast,A1,industry,retrofit,2020,75.00050000000
indr_tec,BajaCalif,BajaCalif,A1,industry,retrofit,2020,26.56590000000
indr_tec2,BajaCalif,BajaCalif,A1,industry,retrofit,2020,13.28300000000
indr_tec,BajaCalifSouth,BajaCalifSouth,A1,industry,retrofit,2020,6.82120000000
indr_tec2,BajaCalifSouth,BajaCalifSouth,A1,industry,retrofit,2020,3.41060000000
indr_tec,Peninsular,Peninsular,A1,industry,retrofit,2020,21.62580000000
indr_tec2,Peninsular,Peninsular,A1,industry,retrofit,2020,10.81290000000
indr_tec,Central,Central,A2,industry,retrofit,2020,41.79780000000
indr_tec2,Central,Central,A2,industry,retrofit,2020,20.89890000000
indr_tec,Eastern,Eastern,A2,industry,retrofit,2020,162.67850000000
indr_tec2,Eastern,Eastern,A2,industry,retrofit,2020,81.33920000000
indr_tec,Western,Western,A2,industry,retrofit,2020,141.98300000000
indr_tec2,Western,Western,A2,industry,retrofit,2020,70.99150000000
indr_tec,Northwest,Northwest,A2,industry,retrofit,2020,69.18680000000
indr_tec2,Northwest,Northwest,A2,industry,retrofit,2020,34.59340000000
indr_tec,North,North,A2,industry,retrofit,2020,53.55760000000
indr_tec2,North,North,A2,industry,retrofit,2020,26.77880000000
indr_tec,Northeast,Northeast,A2,industry,retrofit,2020,150.00100000000
indr_tec2,Northeast,Northeast,A2,industry,retrofit,2020,75.00050000000
indr_tec,BajaCalif,BajaCalif,A2,industry,retrofit,2020,26.56590000000
indr_tec2,BajaCalif,BajaCalif,A2,industry,retrofit,2020,13.28300000000
indr_tec,BajaCalifSouth,BajaCalifSouth,A2,industry,retrofit,2020,6.82120000000
indr_tec2,BajaCalifSouth,BajaCalifSouth,A2,industry,retrofit,2020,3.41060000000
indr_tec,Peninsular,Peninsular,A2,industry,retrofit,2020,21.62580000000
indr_tec2,Peninsular,Peninsular,A2,industry,retrofit,2020,10.81290000000
bus_battery,Central,Central,A1,transport,retrofit,2020,47.06370000000
bus_cng,Central,Central,A1,transport,retrofit,2020,47.10990000000
bus_diesel,Central,Central,A1,transport,retrofit,2020,373.21620000000
bus_hybriddiesel,Central,Central,A1,transport,retrofit,2020,47.01760000000
cars_battery,Central,Central,A1,transport,retrofit,2020,335.43530000000
cars_diesel,Central,Central,A1,transport,retrofit,2020,978.94170000000
cars_hybriddiesel,Central,Central,A1,transport,retrofit,2020,166.55370000000
cars_hybridpetrol,Central,Central,A1,transport,retrofit,2020,324.11050000000
cars_lpg,Central,Central,A1,transport,retrofit,2020,80.89110000000
cars_petrol,Central,Central,A1,transport,retrofit,2020,10900.00000000000
cars_pluginhybriddiesel,Central,Central,A1,transport,retrofit,2020,167.13370000000
freightjet_kerosene,Central,Central,A1,transport,retrofit,2020,220.03860000000
freighttrain_diesel,Central,Central,A1,transport,retrofit,2020,226.76180000000
freighttrain_electric,Central,Central,A1,transport,retrofit,2020,2.47650000000
heavylorry_cng,Central,Central,A1,transport,retrofit,2020,48.58820000000
heavylorry_diesel,Central,Central,A1,transport,retrofit,2020,385.19630000000
heavylorry_hybriddiesel,Central,Central,A1,transport,retrofit,2020,48.53910000000
heavylorry_petrol,Central,Central,A1,transport,retrofit,2020,389.09950000000
lightlorry_cng,Central,Central,A1,transport,retrofit,2020,48.05310000000
lightlorry_diesel,Central,Central,A1,transport,retrofit,2020,377.24940000000
lightlorry_hybriddiesel,Central,Central,A1,transport,retrofit,2020,47.98110000000
lightlorry_hybridpetrol,Central,Central,A1,transport,retrofit,2020,35.93190000000
lightlorry_lpg,Central,Central,A1,transport,retrofit,2020,48.10130000000
lightlorry_petrol,Central,Central,A1,transport,retrofit,2020,380.23780000000
lightlorry_pluginhybriddiesel,Central,Central,A1,transport,retrofit,2020,24.01450000000
lightlorry_pluginhybridpetrol,Central,Central,A1,transport,retrofit,2020,35.95890000000
passengerjet_kerosene,Central,Central,A1,transport,retrofit,2020,1432.88350000000
