ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050,2055
resASHeatPump,Eastern,PJ/y,0,0,0,0,0,0,0,0
resASHeatPump_solarT,Eastern,PJ/y,0,0,0,0,0,0,0,0
resBoilerBiomass,Eastern,PJ/y,0,0,0,0,0,0,0,0
resBoilerBiomass_solarT,Eastern,PJ/y,0,0,0,0,0,0,0,0
resBoilerElectriciy_solarT,Eastern,PJ/y,0,0,0,0,0,0,0,0
resBoilerNG,Eastern,PJ/y,0,0,0,0,0,0,0,0
resBoilerNG_solarT,Eastern,PJ/y,0,0,0,0,0,0,0,0
resCHPBiomass,Eastern,PJ/y,0,0,0,0,0,0,0,0
resCHPNG,Eastern,PJ/y,0,0,0,0,0,0,0,0
resCookingBiomass,Eastern,PJ/y,0,0,0,0,0,0,0,0
resCookingCoal,Eastern,PJ/y,0,0,0,0,0,0,0,0
resCookingKerosene,Eastern,PJ/y,0,0,0,0,0,0,0,0
resCookingNG,Eastern,PJ/y,0,0,0,0,0,0,0,0
resDHBiomass,Eastern,PJ/y,0,0,0,0,0,0,0,0
resDHHeatPump,Eastern,PJ/y,0,0,0,0,0,0,0,0
resDHNG,Eastern,PJ/y,0,0,0,0,0,0,0,0
resDHSolarWater,Eastern,PJ/y,0,0,0,0,0,0,0,0
resDHThermalStorage,Eastern,PJ/y,0,0,0,0,0,0,0,0
resDHWasteHeatOfftake,Eastern,PJ/y,0,0,0,0,0,0,0,0
resElectricNightStorage,Eastern,PJ/y,0,0,0,0,0,0,0,0
resElectricResSA,Eastern,PJ/y,0,0,0,0,0,0,0,0
resElectricResSA_storage,Eastern,PJ/y,0,0,0,0,0,0,0,0
resGSHeatPump,Eastern,PJ/y,0,0,0,0,0,0,0,0
resGSHeatPump_solarT,Eastern,PJ/y,0,0,0,0,0,0,0,0
resHWaterBiomass,Eastern,PJ/y,0,0,0,0,0,0,0,0
resHWaterNG,Eastern,PJ/y,0,0,0,0,0,0,0,0
resMicroCHPBiomass,Eastern,PJ/y,0,0,0,0,0,0,0,0
resMicroCHPNG,Eastern,PJ/y,0,0,0,0,0,0,0,0
resNGSA,Eastern,PJ/y,0,0,0,0,0,0,0,0
resAppliancesAdv,Eastern,PJ/y,0,0,0,0,0,0,0,0
resLightingCon,Eastern,PJ/y,343,257.25,192.9375,144.703125,0.1,0.1,0.1,0.1
resHWaterElec,Eastern,PJ/y,734,550.5,412.875,309.65625,0.1,0.1,0.1,0.1
resBoilerElectric,Eastern,PJ/y,1352,1014,760.5,570.375,0.1,0.1,0.1,0.1
resLightingEnergySaving,Eastern,PJ/y,1490,1117.5,838.125,628.59375,0.1,0.1,0.1,0.1
resCookingElec,Eastern,PJ/y,3550,2662.5,1996.875,1497.65625,0.1,0.1,0.1,0.1
resLightingLED,Eastern,PJ/y,3596,2697,2022.75,1517.0625,0.1,0.1,0.1,0.1
resAppliancesCon,Eastern,PJ/y,4284,3213,2409.75,1807.3125,0.1,0.1,0.1,0.1
resAC,Eastern,PJ/y,4707,3530.25,2647.6875,1985.765625,0.1,0.1,0.1,0.1
resASHeatPump,North,PJ/y,0,0,0,0,0,0,0,0
resASHeatPump_solarT,North,PJ/y,0,0,0,0,0,0,0,0
resBoilerBiomass,North,PJ/y,0,0,0,0,0,0,0,0
resBoilerBiomass_solarT,North,PJ/y,0,0,0,0,0,0,0,0
resBoilerElectriciy_solarT,North,PJ/y,0,0,0,0,0,0,0,0
resBoilerNG,North,PJ/y,0,0,0,0,0,0,0,0
resBoilerNG_solarT,North,PJ/y,0,0,0,0,0,0,0,0
resCHPBiomass,North,PJ/y,0,0,0,0,0,0,0,0
resCHPNG,North,PJ/y,0,0,0,0,0,0,0,0
resCookingBiomass,North,PJ/y,0,0,0,0,0,0,0,0
resCookingCoal,North,PJ/y,0,0,0,0,0,0,0,0
resCookingKerosene,North,PJ/y,0,0,0,0,0,0,0,0
resCookingNG,North,PJ/y,0,0,0,0,0,0,0,0
resDHBiomass,North,PJ/y,0,0,0,0,0,0,0,0
resDHHeatPump,North,PJ/y,0,0,0,0,0,0,0,0
resDHNG,North,PJ/y,0,0,0,0,0,0,0,0
resDHSolarWater,North,PJ/y,0,0,0,0,0,0,0,0
resDHThermalStorage,North,PJ/y,0,0,0,0,0,0,0,0
resDHWasteHeatOfftake,North,PJ/y,0,0,0,0,0,0,0,0
resElectricNightStorage,North,PJ/y,0,0,0,0,0,0,0,0
resElectricResSA,North,PJ/y,0,0,0,0,0,0,0,0
resElectricResSA_storage,North,PJ/y,0,0,0,0,0,0,0,0
resGSHeatPump,North,PJ/y,0,0,0,0,0,0,0,0
resGSHeatPump_solarT,North,PJ/y,0,0,0,0,0,0,0,0
resHWaterBiomass,North,PJ/y,0,0,0,0,0,0,0,0
resHWaterNG,North,PJ/y,0,0,0,0,0,0,0,0
resMicroCHPBiomass,North,PJ/y,0,0,0,0,0,0,0,0
resMicroCHPNG,North,PJ/y,0,0,0,0,0,0,0,0
resNGSA,North,PJ/y,0,0,0,0,0,0,0,0
resAppliancesAdv,North,PJ/y,0,0,0,0,0,0,0,0
resLightingCon,North,PJ/y,239,179.25,134.4375,100.828125,0.1,0.1,0.1,0.1
resHWaterElec,North,PJ/y,263,197.25,147.9375,110.953125,0.1,0.1,0.1,0.1
resBoilerElectric,North,PJ/y,270,202.5,151.875,113.90625,0.1,0.1,0.1,0.1
resLightingEnergySaving,North,PJ/y,626,469.5,352.125,264.09375,0.1,0.1,0.1,0.1
resCookingElec,North,PJ/y,634,475.5,356.625,267.46875,0.1,0.1,0.1,0.1
resLightingLED,North,PJ/y,756,567,425.25,318.9375,0.1,0.1,0.1,0.1
