ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2,Agent1
Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,Retrofit,New
procIron_LPG,Eastern,2020,fixed,4989.517,1,9.979,1,0,1,300,0.3,2701.68,25,0.9,0.1,1,0.1,energy,lp_gas,steel,1,0
procIron_LPG_CCS,Eastern,2020,fixed,7384.48516,1,14.76892,1,0,1,300,0.3,2701.68,25,0.9,0.1,1,0.1,energy,lp_gas,steel,1,0
procIron_NG,Eastern,2020,fixed,4989.517,1,9.979,1,0,1,300,0.3,2701.68,25,0.9,0.1,1,0.1,energy,gas,steel,1,0
procIron_NG_CCS,Eastern,2020,fixed,7384.48516,1,14.76892,1,0,1,300,0.3,2701.68,25,0.9,0.1,1,0.1,energy,gas,cement,1,0
procNonmetminDry_Biogas,Eastern,2020,fixed,11081.26,1,19.468,1,0,1,300,0.3,2701.68,30,0.9,0.1,1,0.1,energy,biogas,cement,1,0
procNonmetminDry_Biogas_CCS,Eastern,2020,fixed,16400.2648,1,28.81264,1,0,1,300,0.3,2701.68,30,0.9,0.1,1,0.1,energy,biogas,cement,1,0
procNonmetminDry_ForRes,Eastern,2020,fixed,11081.26,1,19.468,1,0,1,300,0.3,2701.68,30,0.9,0.1,1,0.1,energy,biomass,cement,1,0
procNonmetminDry_ForRes_CCS,Eastern,2020,fixed,16400.2648,1,28.81264,1,0,1,300,0.3,2701.68,30,0.9,0.1,1,0.1,energy,biomass,cement,1,0
procNonmetminDry_Hardcoal,Eastern,2020,fixed,11081.26,1,19.468,1,0,1,300,0.3,2701.68,30,0.9,0.1,1,0.1,energy,coal,cement,1,0
procNonmetminDry_HFO,Eastern,2020,fixed,11081.26,1,19.468,1,0,1,300,0.3,2701.68,30,0.9,0.1,1,0.1,energy,electricity,cement,1,0
procNonmetminDry_HFO_CCS,Eastern,2020,fixed,16400.2648,1,28.81264,1,0,1,300,0.3,2701.68,30,0.9,0.1,1,0.1,energy,hydrogen,cement,1,0
procNonmetminDry_LPG,Eastern,2020,fixed,11081.26,1,19.468,1,0,1,300,0.3,2701.68,30,0.9,0.1,1,0.1,energy,lp_gas,cement,1,0
