year,dst_region,asset,region,technology,installed,capacity
2040,North,66,North,OC_GAS,2020,8.14640000000
2040,North,67,North,PV_GND,2020,47.42130000000
2040,North,68,North,PV_SSG,2020,11.45270000000
2040,North,71,Northeast,HYD_SS,2025,556.90430000000
2040,North,72,Northeast,HYD_SS,2030,217.50630000000
2040,North,73,Northeast,HYD_SS,2035,101.42920000000
2040,North,80,Northwest,CSP,2025,920.85120000000
2040,North,81,Northwest,CSP,2030,60.35770000000
2040,North,84,Northwest,HYD_SS,2025,556.95790000000
2040,North,85,Northwest,HYD_SS,2030,706.40640000000
2040,North,86,Northwest,HYD_SS,2035,706.40640000000
2040,North,103,Western,CC_GAS,2025,1000.00000000000
2040,North,104,Western,CC_GAS,2030,1000.00000000000
2040,North,106,Western,CSP,2025,21.59400000000
2040,North,114,Western,HYD_SS,2025,706.40640000000
2040,North,115,Western,HYD_SS,2035,706.40640000000
2040,Northeast,69,Northeast,BIO,2020,0.05420000000
2040,Northeast,70,Northeast,CC_GAS,2020,275.96210000000
2040,Northeast,75,Northeast,OC_GAS,2020,65.87810000000
2040,Northeast,76,Northeast,ON_WIND,2020,147.15960000000
2040,Northeast,77,Northeast,PV_GND,2020,53.09020000000
2040,Northeast,78,Northeast,PV_SSG,2020,20.95430000000
2040,BajaCalif,0,BajaCalif,CC_GAS,2020,47.28570000000
2040,BajaCalif,1,BajaCalif,OC_GAS,2020,16.81310000000
2040,BajaCalif,6,BajaCalif,ON_WIND,2020,11.73140000000
2040,BajaCalif,11,BajaCalif,PV_SSG,2020,4.22580000000
2040,BajaCalifSouth,12,BajaCalifSouth,OC_GAS,2020,2.90130000000
2040,BajaCalifSouth,16,BajaCalifSouth,OC_OIL,2020,1.26140000000
2040,BajaCalifSouth,17,BajaCalifSouth,OFF_WIND,2035,1000.00000000000
