ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050,2055
comLightingOtherCCL,Eastern,PJ/y,2.794834357,1.844590676,0.922295338,0.279483436,0,0,0,0
comLightingLED,Eastern,PJ/y,7.336440188,4.842050524,2.421025262,0.733644019,0,0,0,0
comAppliancesCon,Eastern,PJ/y,8.060743947,5.320091005,2.660045502,0.806074395,0,0,0,0
comCookingElec,Eastern,PJ/y,3.011299922,1.987457949,0.993728974,0.301129992,0,0,0,0
comCookingNG,Eastern,PJ/y,3.011299922,1.987457949,0.993728974,0.301129992,0,0,0,0
comCookingBiomass,Eastern,PJ/y,0,0,0,0,0,0,0,0
comAC,Eastern,PJ/y,0.587482277,0.387738303,0.193869151,0.058748228,0,0,0,0
comACHFC_HC,Eastern,PJ/y,0,0,0,0,0,0,0,0
comACHFO_HC,Eastern,PJ/y,0,0,0,0,0,0,0,0
comBoilerNG,Eastern,PJ/y,1.060437205,0.699888555,0.349944278,0.10604372,0,0,0,0
comBoilerElectric,Eastern,PJ/y,1.027108455,0.67789158,0.33894579,0.102710845,0,0,0,0
comBoilerBiomass,Eastern,PJ/y,0.020413251,0.013472746,0.006736373,0.002041325,0,0,0,0
comBoilerNG_HC,Eastern,PJ/y,0,0,0,0,0,0,0,0
comBoilerElectric_HC,Eastern,PJ/y,0,0,0,0,0,0,0,0
comBoilerBiomass_HC,Eastern,PJ/y,0,0,0,0,0,0,0,0
comBoilerNG_solarT,Eastern,PJ/y,0,0,0,0,0,0,0,0
comBoilerElectriciy_solarT,Eastern,PJ/y,0,0,0,0,0,0,0,0
comBoilerBiomass_solarT,Eastern,PJ/y,0,0,0,0,0,0,0,0
comASHeatPump,Eastern,PJ/y,0,0,0,0,0,0,0,0
comGSHeatPump,Eastern,PJ/y,0,0,0,0,0,0,0,0
comASHeatPump_solarT,Eastern,PJ/y,0,0,0,0,0,0,0,0
comGSHeatPump_solarT,Eastern,PJ/y,0,0,0,0,0,0,0,0
comElectricNightStorage,Eastern,PJ/y,0,0,0,0,0,0,0,0
comElectricResSA_storage,Eastern,PJ/y,0,0,0,0,0,0,0,0
comElectricResSA,Eastern,PJ/y,0,0,0,0,0,0,0,0
comCHPNG,Eastern,PJ/y,0.308085371,0.203336345,0.101668173,0.030808537,0,0,0,0
comCHPBiomass,Eastern,PJ/y,0.102726567,0.067799534,0.033899767,0.010272657,0,0,0,0
comMicroCHPNG,Eastern,PJ/y,0,0,0,0,0,0,0,0
comMicroCHPBiomass,Eastern,PJ/y,0,0,0,0,0,0,0,0
comHVAC_HFC_HC,Eastern,PJ/y,0,0,0,0,0,0,0,0
comHVAC_HFO_HC,Eastern,PJ/y,0,0,0,0,0,0,0,0
comBoilerHydrogen,Eastern,PJ/y,0,0,0,0,0,0,0,0
