ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,AvailabiliyYear,InterestRate,Type,Fuel,EndUse,Agent2,Agent1
Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,-,Retrofit,New
comHVAC_HFC_HC,Central,2020,fixed,273.1197555,1,8.193592664,1,0,1,4715.9091,10,3524.262184,15,0.95,0.118371443,2.5,1,0.1,energy,electricity,cool_com,1,0
comHVAC_HFO_HC,Central,2020,fixed,300.431731,1,9.01295193,1,0,1,4715.9091,10,3524.262184,15,0.95,0.118371443,2.5,1,0.1,energy,electricity,cool_com,1,0
comLightingFluorescent,Central,2020,fixed,35.56246816,1,0,1,0,1,3281.503275,10,67289.43633,1,1,7.16E-08,2.222222222,1,0.1,energy,electricity,light_com,1,0
comLightingLED,Central,2020,fixed,232.8658662,1,0,1,0,1,1968.901965,10,67289.43633,21,1,7.16E-08,8.571428571,1,0.1,energy,electricity,light_com,1,0
comLightingOtherCCL,Central,2020,fixed,157.1844597,1,0,1,0,1,1968.901965,10,67289.43633,7,1,7.16E-08,4,1,0.1,energy,electricity,light_com,1,0
comMicroCHPBiomass,Central,2020,fixed,37.61644451,1,1.880822226,1,0,1,78.013386,10,3524.262184,15,0.95,0.007195133,0.8,1,0.1,energy,biomass,hwater_com,1,0
comMicroCHPNG,Central,2020,fixed,14.10616669,1,0.705308335,1,0,1,78.013386,10,3524.262184,15,0.95,0.007195133,0.8,1,0.1,energy,gas,hwater_com,1,0
comElectricResSA,Central,2020,fixed,10.79175276,1,1.079175276,1,0,1,78.013386,10,3524.262184,15,0.95,0.004291834,0.85,1,0.1,energy,electricity,heating_com,1,0
comElectricResSA_storage,Central,2020,fixed,26.0312247,1,2.60312247,1,0,1,78.013386,10,3524.262184,15,0.95,0.004291834,0.7,1,0.1,energy,electricity,heating_com,1,0
comBoilerLPG,Central,2020,fixed,5.413594467,1,0.541359447,1,0,1,0,10,3524.262184,15,0.95,0.011360736,0.9,1,0.1,energy,gas,hwater_com,1,0
comCookingLPG,Central,2020,fixed,4.523710458,1,0.113092761,1,0,1,2552.262093,10,129681.766,14,1,4.56E-05,0.95,1,0.1,energy,gas,cook_com,1,0
comCHPHydrogen,Central,2020,fixed,20.64007705,1,0.820475113,1,0,1,23971.41915,10,356143.3191,25,0.9,0.000756864,0.8,0.35,0.1,energy,hydrogen,hwater_com,1,0
comCHPFuelCellHdg,Central,2020,fixed,314.4969021,1,25.87127583,1,0,1,23971.41915,10,356143.3191,25,0.9,0.000756864,0.8,0.35,0.1,energy,hydrogen,hwater_com,1,0
comMicroCHPHydrogen,Central,2020,fixed,1404.564102,1,5.480245763,1,0,1,15000,10,356143.3191,15,0.95,0.000378432,0.8,1,0.1,energy,hydrogen,hwater_com,1,0
comCookingHydrogen,Central,2020,fixed,14.26674359,1,0.713337179,1,0,1,10431.90911,10,129681.766,14,1,4.56E-05,0.957767695,1,0.1,energy,hydrogen,cook_com,1,0
comBoilerHydrogen,Central,2020,fixed,3.297001142,1,0.329700114,1,0,1,142.904175,10,3524.262184,15,0.95,0.011360736,0.9,1,0.1,energy,hydrogen,hwater_com,1,0
