timeslice,commodity,asset,year,units_prices,comm_usage,technology,installed,month,day,hour,supply
3,cars,17,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2020,all-year,all-week,early-peak,1.10690000000
3,cars,18,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2025,all-year,all-week,early-peak,7.77780000000
3,cars,18,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2025,all-year,all-week,early-peak,8.33330000000
3,cars,19,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2020,all-year,all-week,early-peak,0.56840000000
3,cars,19,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2020,all-year,all-week,early-peak,0.28420000000
3,cars,20,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2030,all-year,all-week,early-peak,1.45830000000
3,cars,21,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2020,all-year,all-week,early-peak,24.30560000000
3,cars,21,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2020,all-year,all-week,early-peak,1.74160000000
3,cars,22,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2030,all-year,all-week,early-peak,26.04170000000
3,cars,23,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2020,all-year,all-week,early-peak,13.55650000000
