ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050,2055
res_comDHBiomass,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comDHCoal,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comDHHeatPump,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comDHNG,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comDHSolarWater,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comDHThermalStorage,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comDHWasteHeatOfftake,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comElectricNightStorage,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comElectricResSA,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comElectricResSA_storage,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comGSHeatPump,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comGSHeatPump_solarT,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comGSHeatPumpNG,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comHWaterBiomass,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comHWaterCoal,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comHWaterKerosene,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comHWaterNG,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comMicroCHPBiomass,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comMicroCHPNG,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comNGSA,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
resAppliancesAdv,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
comLightingOtherCCL,BajaCalifSouth,PJ/y,7,5.25,3.9375,2.953125,0.1,0.1,0.1,0.1
comLightingFluorescent,BajaCalifSouth,PJ/y,19,14.25,10.6875,8.015625,0.1,0.1,0.1,0.1
resLightingCon,BajaCalifSouth,PJ/y,34,25.5,19.125,14.34375,0.1,0.1,0.1,0.1
res_comHWaterElec,BajaCalifSouth,PJ/y,38,28.5,21.375,16.03125,0.1,0.1,0.1,0.1
res_comBoilerElectric,BajaCalifSouth,PJ/y,90,67.5,50.625,37.96875,0.1,0.1,0.1,0.1
resLightingEnergySaving,BajaCalifSouth,PJ/y,91,68.25,51.1875,38.390625,0.1,0.1,0.1,0.1
res_comCookingElec,BajaCalifSouth,PJ/y,108,81,60.75,45.5625,0.1,0.1,0.1,0.1
res_comLightingLED,BajaCalifSouth,PJ/y,119,89.25,66.9375,50.203125,0.1,0.1,0.1,0.1
res_comAppliancesCon,BajaCalifSouth,PJ/y,270,202.5,151.875,113.90625,0.1,0.1,0.1,0.1
res_comAC,BajaCalifSouth,PJ/y,873,654.75,491.0625,368.296875,0.1,0.1,0.1,0.1
comACHFC_HC,Central,PJ/y,0,0,0,0,0,0,0,0
comACHFO_HC,Central,PJ/y,0,0,0,0,0,0,0,0
comBoilerBiomass_HC,Central,PJ/y,0,0,0,0,0,0,0,0
comBoilerCoal_HC,Central,PJ/y,0,0,0,0,0,0,0,0
comBoilerElectric_HC,Central,PJ/y,0,0,0,0,0,0,0,0
comBoilerKerosene_HC,Central,PJ/y,0,0,0,0,0,0,0,0
comBoilerNG_HC,Central,PJ/y,0,0,0,0,0,0,0,0
comHVAC_HFC_HC,Central,PJ/y,0,0,0,0,0,0,0,0
comHVAC_HFO_HC,Central,PJ/y,0,0,0,0,0,0,0,0
comHWaterBiomass_HC,Central,PJ/y,0,0,0,0,0,0,0,0
comHWaterCoal_HC,Central,PJ/y,0,0,0,0,0,0,0,0
comHWaterElec_HC,Central,PJ/y,0,0,0,0,0,0,0,0
comHWaterLFO_HC,Central,PJ/y,0,0,0,0,0,0,0,0
comHWaterNG_HC,Central,PJ/y,0,0,0,0,0,0,0,0
res_comASHeatPump,Central,PJ/y,0,0,0,0,0,0,0,0
res_comASHeatPump_solarT,Central,PJ/y,0,0,0,0,0,0,0,0
res_comASHeatPumpNG,Central,PJ/y,0,0,0,0,0,0,0,0
res_comBoilerBiomass,Central,PJ/y,0,0,0,0,0,0,0,0
res_comBoilerBiomass_solarT,Central,PJ/y,0,0,0,0,0,0,0,0
res_comBoilerCoal,Central,PJ/y,0,0,0,0,0,0,0,0
res_comBoilerCoal_solarT,Central,PJ/y,0,0,0,0,0,0,0,0
res_comBoilerElectriciy_solarT,Central,PJ/y,0,0,0,0,0,0,0,0
res_comBoilerKerosene,Central,PJ/y,0,0,0,0,0,0,0,0
res_comBoilerKerosene_solarT,Central,PJ/y,0,0,0,0,0,0,0,0
res_comBoilerNG,Central,PJ/y,0,0,0,0,0,0,0,0
res_comBoilerNG_solarT,Central,PJ/y,0,0,0,0,0,0,0,0
res_comCHPBiomass,Central,PJ/y,0,0,0,0,0,0,0,0
res_comCHPCoal,Central,PJ/y,0,0,0,0,0,0,0,0
res_comCHPNG,Central,PJ/y,0,0,0,0,0,0,0,0
res_comCookingBiomass,Central,PJ/y,0,0,0,0,0,0,0,0
res_comCookingCoal,Central,PJ/y,0,0,0,0,0,0,0,0
res_comCookingKerosene,Central,PJ/y,0,0,0,0,0,0,0,0
res_comCookingNG,Central,PJ/y,0,0,0,0,0,0,0,0
res_comDHBiomass,Central,PJ/y,0,0,0,0,0,0,0,0
res_comDHCoal,Central,PJ/y,0,0,0,0,0,0,0,0
res_comDHHeatPump,Central,PJ/y,0,0,0,0,0,0,0,0
res_comDHNG,Central,PJ/y,0,0,0,0,0,0,0,0
res_comDHSolarWater,Central,PJ/y,0,0,0,0,0,0,0,0
res_comDHThermalStorage,Central,PJ/y,0,0,0,0,0,0,0,0
res_comDHWasteHeatOfftake,Central,PJ/y,0,0,0,0,0,0,0,0
res_comElectricNightStorage,Central,PJ/y,0,0,0,0,0,0,0,0
res_comElectricResSA,Central,PJ/y,0,0,0,0,0,0,0,0
res_comElectricResSA_storage,Central,PJ/y,0,0,0,0,0,0,0,0
res_comGSHeatPump,Central,PJ/y,0,0,0,0,0,0,0,0
res_comGSHeatPump_solarT,Central,PJ/y,0,0,0,0,0,0,0,0
res_comGSHeatPumpNG,Central,PJ/y,0,0,0,0,0,0,0,0
res_comHWaterBiomass,Central,PJ/y,0,0,0,0,0,0,0,0
res_comHWaterCoal,Central,PJ/y,0,0,0,0,0,0,0,0
res_comHWaterKerosene,Central,PJ/y,0,0,0,0,0,0,0,0
res_comHWaterNG,Central,PJ/y,0,0,0,0,0,0,0,0
res_comMicroCHPBiomass,Central,PJ/y,0,0,0,0,0,0,0,0
