timeslice,commodity,year,asset,region,technology,installed,month,day,hour,supply
2,heat,2030,1,R1,electric_stove,2025,all-year,all-week,afternoon,0.38890000000
2,heat,2030,2,R1,gas_stove,2020,all-year,all-week,afternoon,0.38890000000
2,heat,2030,4,R1,heatpump,2020,all-year,all-week,afternoon,0.22220000000
2,CO2f,2025,2,R1,gas_stove,2020,all-year,all-week,afternoon,40.32120000000
2,CO2f,2025,3,R1,gasboiler,2020,all-year,all-week,afternoon,13.07270000000
2,CO2f,2030,2,R1,gas_stove,2020,all-year,all-week,afternoon,48.39420000000
2,cook,2025,0,R1,electric_stove,2020,all-year,all-week,afternoon,0.82640000000
2,cook,2025,2,R1,gas_stove,2020,all-year,all-week,afternoon,0.34030000000
2,cook,2030,0,R1,electric_stove,2020,all-year,all-week,afternoon,0.61540000000
2,cook,2030,1,R1,electric_stove,2025,all-year,all-week,afternoon,0.35900000000
2,cook,2030,2,R1,gas_stove,2020,all-year,all-week,afternoon,0.35900000000
3,heat,2025,0,R1,electric_stove,2020,all-year,all-week,early-peak,1.03030000000
3,heat,2025,2,R1,gas_stove,2020,all-year,all-week,early-peak,0.42420000000
3,heat,2025,3,R1,gasboiler,2020,all-year,all-week,early-peak,0.30300000000
3,heat,2025,4,R1,heatpump,2020,all-year,all-week,early-peak,0.24240000000
3,heat,2030,0,R1,electric_stove,2020,all-year,all-week,early-peak,1.00000000000
3,heat,2030,1,R1,electric_stove,2025,all-year,all-week,early-peak,0.58330000000
3,heat,2030,2,R1,gas_stove,2020,all-year,all-week,early-peak,0.58330000000
3,heat,2030,4,R1,heatpump,2020,all-year,all-week,early-peak,0.33330000000
3,CO2f,2025,2,R1,gas_stove,2020,all-year,all-week,early-peak,58.90900000000
3,CO2f,2025,3,R1,gasboiler,2020,all-year,all-week,early-peak,19.60910000000
3,CO2f,2030,2,R1,gas_stove,2020,all-year,all-week,early-peak,69.68770000000
3,cook,2025,0,R1,electric_stove,2020,all-year,all-week,early-peak,1.18060000000
3,cook,2025,2,R1,gas_stove,2020,all-year,all-week,early-peak,0.48610000000
3,cook,2030,0,R1,electric_stove,2020,all-year,all-week,early-peak,0.84620000000
3,cook,2030,1,R1,electric_stove,2025,all-year,all-week,early-peak,0.49360000000
3,cook,2030,2,R1,gas_stove,2020,all-year,all-week,early-peak,0.49360000000
4,heat,2025,0,R1,electric_stove,2020,all-year,all-week,late-peak,2.06060000000
4,heat,2025,2,R1,gas_stove,2020,all-year,all-week,late-peak,0.84850000000
4,heat,2025,3,R1,gasboiler,2020,all-year,all-week,late-peak,0.60610000000
4,heat,2025,4,R1,heatpump,2020,all-year,all-week,late-peak,0.48480000000
4,heat,2030,0,R1,electric_stove,2020,all-year,all-week,late-peak,2.00000000000
4,heat,2030,1,R1,electric_stove,2025,all-year,all-week,late-peak,1.16670000000
4,heat,2030,2,R1,gas_stove,2020,all-year,all-week,late-peak,1.16670000000
4,heat,2030,4,R1,heatpump,2020,all-year,all-week,late-peak,0.66670000000
4,CO2f,2025,2,R1,gas_stove,2020,all-year,all-week,late-peak,95.79860000000
4,CO2f,2025,3,R1,gasboiler,2020,all-year,all-week,late-peak,39.21820000000
4,CO2f,2030,2,R1,gas_stove,2020,all-year,all-week,late-peak,116.14620000000
4,cook,2025,0,R1,electric_stove,2020,all-year,all-week,late-peak,1.53470000000
4,cook,2025,2,R1,gas_stove,2020,all-year,all-week,late-peak,0.63190000000
4,cook,2030,0,R1,electric_stove,2020,all-year,all-week,late-peak,1.07690000000
4,cook,2030,1,R1,electric_stove,2025,all-year,all-week,late-peak,0.62820000000
4,cook,2030,2,R1,gas_stove,2020,all-year,all-week,late-peak,0.62820000000
5,heat,2025,0,R1,electric_stove,2020,all-year,all-week,evening,1.37370000000
5,heat,2025,2,R1,gas_stove,2020,all-year,all-week,evening,0.56570000000
5,heat,2025,3,R1,gasboiler,2020,all-year,all-week,evening,0.40400000000
5,heat,2025,4,R1,heatpump,2020,all-year,all-week,evening,0.32320000000
5,heat,2030,0,R1,electric_stove,2020,all-year,all-week,evening,1.33330000000
5,heat,2030,1,R1,electric_stove,2025,all-year,all-week,evening,0.77780000000
5,heat,2030,2,R1,gas_stove,2020,all-year,all-week,evening,0.77780000000
5,heat,2030,4,R1,heatpump,2020,all-year,all-week,evening,0.44440000000
5,CO2f,2025,2,R1,gas_stove,2020,all-year,all-week,evening,96.37050000000
5,CO2f,2025,3,R1,gasboiler,2020,all-year,all-week,evening,26.14550000000
5,CO2f,2030,2,R1,gas_stove,2020,all-year,all-week,evening,108.40310000000
5,cook,2025,0,R1,electric_stove,2020,all-year,all-week,evening,2.24310000000
5,cook,2025,2,R1,gas_stove,2020,all-year,all-week,evening,0.92360000000
5,cook,2030,0,R1,electric_stove,2020,all-year,all-week,evening,1.53850000000
5,cook,2030,1,R1,electric_stove,2025,all-year,all-week,evening,0.89740000000
5,cook,2030,2,R1,gas_stove,2020,all-year,all-week,evening,0.89740000000
