ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,AvailabiliyYear,Type,Fuel,EndUse,InterestRate,Agent1,Agent2
Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,,Retrofit,New
res/comCookingElec,Eastern,2020,fixed,15.13255183,1,0.756627591,1,0,1,145.5624152,0.070054127,30507.34637,14,1,0.000063072,1.307298347,1,cook,elec,cook,0.1,0,0
res/comCookingKerosene,Eastern,2020,fixed,5.120899957,1,0.128022499,1,0,1,59.092692,0.291213864,30507.34637,14,1,0.000063072,0.95,1,cook,kerosene,cook,0.1,0,0
res/comCookingNG,Eastern,2020,fixed,16.15014208,1,0.807507104,1,0,1,335.7399126,0.055460648,30507.34637,14,1,0.000063072,0.957767695,1,cook,ng,cook,0.1,0,0
res/comDHBiomass,Eastern,2020,fixed,33.91529837,1,0.16544048,1,0,1,2.640738195,0.048907575,130.8582883,25,0.9,0.000756864,0.9,0.15,dh,biomass,heat,0.1,0,0
res/comDHCoal,Eastern,2020,fixed,33.91265132,1,0.827202399,1,0,1,623.8643415,0.04109458,130.8582883,30,0.9,0.000756864,0.8,0.15,dh,coal,heat,0.1,0,0
res/comDHHeatPump,Eastern,2020,fixed,8.106583512,1,0.055146827,1,0,1,1.366175823,0.356658335,130.8582883,25,0.9,0.000756864,0.9,0.15,dh,elec,heat,0.1,0,0
res/comDHNG,Eastern,2020,fixed,5.128654875,1,0.16544048,1,0,1,2.72778654,0.069164996,130.8582883,25,0.9,0.000756864,0.9,0.15,dh,ng,heat,0.1,0,0
res/comDHSolarWater,Eastern,2020,fixed,78.80481523,1,0.220587306,1,0,1,0,0.01,1101.969031,30,0.9,0.000756864,0.8,0.15,dh,solar,heat,0.1,0,0
res/comDHThermalStorage,Eastern,2020,fixed,1000000,1,0.005762546,1,0,1,0,0.01,130.8582883,30,0.9,0.000756864,0.99,0.15,dh,thermal,heat,0.1,0,0
res/comDHWasteHeatOfftake,Eastern,2020,fixed,1000000,1,54229.24901,1,0,1,0,0.01,130.8582883,50,0.9,0.000756864,1,0.15,dh,wateheat,heat,0.1,0,0
res/comElectricNightStorage,Eastern,2020,fixed,0.00173911,1,0.00173911,1,0,1,15,0.02,130.8582883,15,0.95,0.000491962,1,1,nightst,elec,heat,0.1,0,0
res/comASHeatPump,Eastern,2020,fixed,53.86775792,1,2.693387896,1,0,1,1031.622923,0.757759912,130.8582883,20,0.95,0.000283824,2.51,1,heatp,elec,heat,0.1,0,0
res/comASHeatPump_solarT,Eastern,2020,fixed,71.72623854,1,3.586311927,1,0,1,825.298338,0.606207929,130.8582883,20,0.95,0.000301344,2.51,1,heatp,elec,heat,0.1,0,0
res/comASHeatPumpNG,Eastern,2020,fixed,18.29705217,1,1.09782313,1,0,1,722.1360459,0.530431938,130.8582883,20,0.95,0.001040688,2.51,1,heatp,elecng,heat,0.1,0,0
res/comGSHeatPump,Eastern,2020,fixed,102.2569556,1,5.112847782,1,0,1,45.37043718,0.217705857,130.8582883,20,0.7,0.000283824,2.84,1,heatp,elec,heat,0.1,0,0
res/comGSHeatPump_solarT,Eastern,2020,fixed,117.3021108,1,3.586311927,1,0,1,36.29634975,0.174164686,130.8582883,20,0.7,0.000301344,2.84,1,heatp,elec,heat,0.1,0,0
res/comGSHeatPumpNG,Eastern,2020,fixed,31.49410609,1,1.889646365,1,0,1,31.75930602,0.1523941,130.8582883,20,0.7,0.001040688,2.51,1,heatp,elecng,heat,0.1,0,0
resLightingCon,Eastern,2020,fixed,0.239352546,1,0,1,0,1,126.601269,8.08E-02,900.7569352,1,1,0.00000189,1,1.00E+00,light,elec,light,0.1,0,0
resLightingEnergySaving,Eastern,2020,fixed,0.718057638,1,0,1,0,1,88.6208883,5.65E-02,900.7569352,7,1,0.00000189,4,1.00E+00,light,elec,light,0.1,0,0
res/comLightingLED,Eastern,2020,fixed,1.914820369,1,0,1,0,1,75.9607614,4.85E-02,900.7569352,21,1,0.00000189,8.571428571,1.00E+00,light,elec,light,0.1,0,0
res/comMicroCHPBiomass,Eastern,2020,fixed,42.58231178,1,2.129115589,1,0,1,15,0.04,130.8582883,15,0.95,0.000378432,0.8,1,microCHP,biomass,heat,0.1,0,0
