timeslice,commodity,asset,year,units_prices,comm_usage,technology,installed,month,day,hour,supply
5,cars,9,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2035,all-year,all-week,evening,58.55560000000
5,cars,10,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2030,all-year,all-week,evening,14.44440000000
5,cars,11,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2040,all-year,all-week,evening,15.34720000000
5,cars,14,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2035,all-year,all-week,evening,67.11110000000
5,cars,14,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2035,all-year,all-week,evening,71.30560000000
5,cars,15,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2030,all-year,all-week,evening,17.11110000000
5,cars,16,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2040,all-year,all-week,evening,18.18060000000
5,cars,18,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2035,all-year,all-week,evening,2.66670000000
5,cars,18,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2035,all-year,all-week,evening,2.83330000000
5,cars,19,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2030,all-year,all-week,evening,28.44440000000
5,cars,20,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2040,all-year,all-week,evening,30.22220000000
5,cars,23,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,evening,8.88890000000
5,cars,23,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,evening,9.44440000000
5,cars,24,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2030,all-year,all-week,evening,1.55560000000
5,cars,25,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2040,all-year,all-week,evening,1.65280000000
5,cars,26,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2030,all-year,all-week,evening,27.77780000000
5,cars,27,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2040,all-year,all-week,evening,29.51390000000
5,cars,30,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,evening,55.11110000000
5,cars,30,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,evening,58.55560000000
5,cars,31,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2030,all-year,all-week,evening,14.44440000000
5,cars,32,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2040,all-year,all-week,evening,15.34720000000
5,cars,35,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,evening,67.11110000000
5,cars,35,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,evening,71.30560000000
5,cars,36,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2030,all-year,all-week,evening,17.11110000000
5,cars,37,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2040,all-year,all-week,evening,18.18060000000
5,cars,39,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,evening,2.66670000000
