ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050
procBiodieselOil,Northwest,PJ/y,0.015750954,0.016223482,0.016538501,0.01685352,0.017326049,0.018113597,0.018901144
procBiodieselAlgae,Northwest,PJ/y,0,0,0,0,0,0,0
procRefineryOilA,North,PJ/y,0,0,0,0,0,0,0
procGTL,North,PJ/y,0,0,0,0,0,0,0
procCTLwCCS,North,PJ/y,0,0,0,0,0,0,0
procCTL,North,PJ/y,0,0,0,0,0,0,0
procBTL,North,PJ/y,0,0,0,0,0,0,0
procBTLwCCS,North,PJ/y,0,0,0,0,0,0,0
procElectrolysis,North,PJ/y,0,0,0,0,0,0,0
procH2Biomass,North,PJ/y,0,0,0,0,0,0,0
procH2BiomasswCCS,North,PJ/y,0,0,0,0,0,0,0
procH2NGwCCS,North,PJ/y,0,0,0,0,0,0,0
procH2NG,North,PJ/y,0,0,0,0,0,0,0
procH2CoalwCCS,North,PJ/y,0,0,0,0,0,0,0
procH2Coal,North,PJ/y,0,0,0,0,0,0,0
procEthanolStarchCrops,North,PJ/y,0,0,0,0,0,0,0
procEthanolSugarCrops,North,PJ/y,0,0,0,0,0,0,0
procEthanolBiomass,North,PJ/y,0,0,0,0,0,0,0
procEthanolBiomasswCCS,North,PJ/y,0,0,0,0,0,0,0
procMethanolBiomass,North,PJ/y,0,0,0,0,0,0,0
procMethanolBiomasswCCS,North,PJ/y,0,0,0,0,0,0,0
procBiogasBiomass,North,PJ/y,0,0,0,0,0,0,0
procBiogasLandfill,North,PJ/y,0,0,0,0,0,0,0
procBiosyngasBiomass,North,PJ/y,0,0,0,0,0,0,0
procPyrolysisUpgradeBiomass,North,PJ/y,0,0,0,0,0,0,0
procBiodieselOil,North,PJ/y,0,0,0,0,0,0,0
procBiodieselAlgae,North,PJ/y,0,0,0,0,0,0,0
procRefineryOilA,Northeast,PJ/y,34.14402,33.1196994,32.436819,31.4124984,30.3881778,29.022417,273.15216
procGTL,Northeast,PJ/y,0,0,0,0,0,0,0
procCTLwCCS,Northeast,PJ/y,0,0,0,0,0,0,0
procCTL,Northeast,PJ/y,0,0,0,0,0,0,0
procBTL,Northeast,PJ/y,0,0,0,0,0,0,0
procBTLwCCS,Northeast,PJ/y,0,0,0,0,0,0,0
procElectrolysis,Northeast,PJ/y,0,0,0,0,0,0,0
procH2Biomass,Northeast,PJ/y,0,0,0,0,0,0,0
procH2BiomasswCCS,Northeast,PJ/y,0,0,0,0,0,0,0
procH2NGwCCS,Northeast,PJ/y,0,0,0,0,0,0,0
procH2NG,Northeast,PJ/y,0,0,0,0,0,0,0
procH2CoalwCCS,Northeast,PJ/y,0,0,0,0,0,0,0
procH2Coal,Northeast,PJ/y,0,0,0,0,0,0,0
procEthanolStarchCrops,Northeast,PJ/y,0,0,0,0,0,0,0
procEthanolSugarCrops,Northeast,PJ/y,0,0,0,0,0,0,0
procEthanolBiomass,Northeast,PJ/y,0,0,0,0,0,0,0
procEthanolBiomasswCCS,Northeast,PJ/y,0,0,0,0,0,0,0
procMethanolBiomass,Northeast,PJ/y,0,0,0,0,0,0,0
procMethanolBiomasswCCS,Northeast,PJ/y,0,0,0,0,0,0,0
procBiogasBiomass,Northeast,PJ/y,0.10217664,0.105241939,0.107285472,0.109329005,0.112394304,0.117503136,0.122611968
procBiogasLandfill,Northeast,PJ/y,0,0,0,0,0,0,0
procBiosyngasBiomass,Northeast,PJ/y,0,0,0,0,0,0,0
procPyrolysisUpgradeBiomass,Northeast,PJ/y,0,0,0,0,0,0,0
procBiodieselOil,Northeast,PJ/y,0,0,0,0,0,0,0
procBiodieselAlgae,Northeast,PJ/y,0,0,0,0,0,0,0
procRefineryOilA,BajaCalif,PJ/y,0,0,0,0,0,0,0
procGTL,BajaCalif,PJ/y,0,0,0,0,0,0,0
procCTLwCCS,BajaCalif,PJ/y,0,0,0,0,0,0,0
