ProcessName,RegionName,Time,Central,Eastern,Western,Northwest,North,Northeast,BajaCalif,BajaCalifSouth,Peninsular
Unit,-,Year,PJ/y,PJ/y,PJ/y,PJ/y,PJ/y,PJ/y,PJ/y,PJ/y,PJ/y
BIO_CCS,Peninsular,2045,0,0,0,0,0,0,0,0,0
BIO_CCS,Central,2050,0,0,0,0,0,0,0,0,0
BIO_CCS,Eastern,2050,0,0,0,0,0,0,0,0,0
BIO_CCS,Western,2050,0,0,0,0,0,0,0,0,0
BIO_CCS,Northwest,2050,0,0,0,0,0,0,0,0,0
BIO_CCS,North,2050,0,0,0,0,0,0,0,0,0
BIO_CCS,Northeast,2050,0,0,0,0,0,0,0,0,0
BIO_CCS,BajaCalif,2050,0,0,0,0,0,0,0,0,0
BIO_CCS,BajaCalifSouth,2050,0,0,0,0,0,0,0,0,0
BIO_CCS,Peninsular,2050,0,0,0,0,0,0,0,0,0
COAL,Central,2020,0,0,0,0,0,0,0,0,0
COAL,Eastern,2020,0,0,0,0,0,0,0,0,0
COAL,Western,2020,0,0,105.6456,0,0,0,0,0,0
COAL,Northwest,2020,0,0,0,0,0,0,0,0,0
COAL,North,2020,0,0,0,0,0,0,0,0,0
COAL,Northeast,2020,0,0,0,0,0,41.62752,0,0,0
COAL,BajaCalif,2020,0,0,0,0,0,0,0,0,0
COAL,BajaCalifSouth,2020,0,0,0,0,0,0,0,0,0
COAL,Peninsular,2020,0,0,0,0,0,0,0,0,0
COAL,Central,2025,0,0,0,0,0,0,0,0,0
COAL,Eastern,2025,0,0,0,0,0,0,0,0,0
COAL,Western,2025,0,0,79.2342,0,0,0,0,0,0
COAL,Northwest,2025,0,0,0,0,0,0,0,0,0
COAL,North,2025,0,0,0,0,0,0,0,0,0
COAL,Northeast,2025,0,0,0,0,0,31.22064,0,0,0
COAL,BajaCalif,2025,0,0,0,0,0,0,0,0,0
COAL,BajaCalifSouth,2025,0,0,0,0,0,0,0,0,0
COAL,Peninsular,2025,0,0,0,0,0,0,0,0,0
COAL,Central,2030,0,0,0,0,0,0,0,0,0
COAL,Eastern,2030,0,0,0,0,0,0,0,0,0
