ProcessName,RegionName,Time,Level,electricity,hfo,gas,geo,heat,CO2f,wind,cook,biomass,water,uranium,solar,coal,diesel,hydrogen,e_demand
Unit,-,Year,-,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,kt/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ
PV_SSG,Western,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSP,Western,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FC_H2,Western,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C_H2,Western,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NUCL,Western,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIO,Northwest,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIO_CCS,Northwest,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FB,Northwest,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COAL,Northwest,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COAL_CCS,Northwest,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OC_GAS,Northwest,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC_GAS,Northwest,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAS_CC_CCS,Northwest,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OC_OIL,Northwest,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC_OIL,Northwest,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEOTH,Northwest,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_LS,Northwest,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_SS,Northwest,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ON_WIND,Northwest,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFF_WIND,Northwest,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PV_GND,Northwest,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PV_SSG,Northwest,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSP,Northwest,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FC_H2,Northwest,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C_H2,Northwest,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NUCL,Northwest,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIO,North,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIO_CCS,North,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FB,North,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COAL,North,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COAL_CCS,North,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OC_GAS,North,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC_GAS,North,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAS_CC_CCS,North,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OC_OIL,North,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC_OIL,North,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEOTH,North,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_LS,North,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_SS,North,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ON_WIND,North,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFF_WIND,North,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PV_GND,North,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PV_SSG,North,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSP,North,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FC_H2,North,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C_H2,North,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NUCL,North,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIO,Northeast,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIO_CCS,Northeast,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FB,Northeast,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COAL,Northeast,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COAL_CCS,Northeast,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OC_GAS,Northeast,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC_GAS,Northeast,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAS_CC_CCS,Northeast,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OC_OIL,Northeast,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC_OIL,Northeast,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEOTH,Northeast,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_LS,Northeast,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_SS,Northeast,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ON_WIND,Northeast,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFF_WIND,Northeast,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PV_GND,Northeast,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PV_SSG,Northeast,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSP,Northeast,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FC_H2,Northeast,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C_H2,Northeast,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NUCL,Northeast,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIO,BajaCalif,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIO_CCS,BajaCalif,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FB,BajaCalif,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COAL,BajaCalif,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COAL_CCS,BajaCalif,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OC_GAS,BajaCalif,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC_GAS,BajaCalif,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAS_CC_CCS,BajaCalif,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OC_OIL,BajaCalif,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC_OIL,BajaCalif,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEOTH,BajaCalif,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_LS,BajaCalif,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_SS,BajaCalif,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ON_WIND,BajaCalif,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFF_WIND,BajaCalif,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PV_GND,BajaCalif,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PV_SSG,BajaCalif,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSP,BajaCalif,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FC_H2,BajaCalif,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C_H2,BajaCalif,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NUCL,BajaCalif,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIO,BajaCalifSouth,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIO_CCS,BajaCalifSouth,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FB,BajaCalifSouth,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COAL,BajaCalifSouth,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COAL_CCS,BajaCalifSouth,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OC_GAS,BajaCalifSouth,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC_GAS,BajaCalifSouth,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAS_CC_CCS,BajaCalifSouth,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OC_OIL,BajaCalifSouth,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC_OIL,BajaCalifSouth,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEOTH,BajaCalifSouth,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_LS,BajaCalifSouth,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_SS,BajaCalifSouth,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ON_WIND,BajaCalifSouth,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFF_WIND,BajaCalifSouth,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PV_GND,BajaCalifSouth,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PV_SSG,BajaCalifSouth,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSP,BajaCalifSouth,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FC_H2,BajaCalifSouth,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C_H2,BajaCalifSouth,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NUCL,BajaCalifSouth,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIO,Peninsular,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIO_CCS,Peninsular,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FB,Peninsular,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COAL,Peninsular,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COAL_CCS,Peninsular,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OC_GAS,Peninsular,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC_GAS,Peninsular,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAS_CC_CCS,Peninsular,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OC_OIL,Peninsular,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC_OIL,Peninsular,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEOTH,Peninsular,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_LS,Peninsular,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_SS,Peninsular,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ON_WIND,Peninsular,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFF_WIND,Peninsular,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PV_GND,Peninsular,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PV_SSG,Peninsular,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSP,Peninsular,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FC_H2,Peninsular,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C_H2,Peninsular,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NUCL,Peninsular,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
