year,dst_region,asset,region,technology,installed,capacity
2025,BajaCalif,5,BajaCalif,ON_WIND,2020,12.36210000000
2025,BajaCalif,7,BajaCalif,PV_GND,2020,2.87990000000
2025,BajaCalif,8,BajaCalif,PV_SSG,2020,4.22580000000
2025,BajaCalifSouth,9,BajaCalifSouth,CC_OIL,2020,36.61270000000
2025,BajaCalifSouth,10,BajaCalifSouth,GEOTH,2020,0.63070000000
2025,BajaCalifSouth,11,BajaCalifSouth,OC_GAS,2020,2.90130000000
2025,BajaCalifSouth,13,BajaCalifSouth,OC_OIL,2020,60.64180000000
2025,BajaCalifSouth,16,BajaCalifSouth,PV_GND,2020,3.53010000000
2025,BajaCalifSouth,17,BajaCalifSouth,PV_SSG,2020,1.07200000000
2025,Peninsular,85,Peninsular,BIO,2020,5.22870000000
2025,Peninsular,86,Peninsular,CC_GAS,2020,132.76210000000
2025,Peninsular,87,Peninsular,CC_OIL,2020,24.16980000000
2025,Peninsular,88,Peninsular,OC_GAS,2020,3.66010000000
2025,Peninsular,89,Peninsular,OC_OIL,2020,81.84290000000
2025,Peninsular,90,Peninsular,ON_WIND,2020,882.87340000000
2025,Peninsular,92,Peninsular,PV_GND,2020,22.34140000000
2025,Peninsular,94,Peninsular,PV_SSG,2020,8.48610000000
2030,Central,12,BajaCalifSouth,OC_GAS,2025,709.24460000000
2030,Central,18,Central,BIO,2020,2.29140000000
2030,Central,20,Central,CC_GAS,2020,77.11810000000
2030,Central,23,Central,HYD_LS,2020,18.85220000000
2030,Central,24,Central,OC_GAS,2020,71.13070000000
2030,Central,25,Central,OC_OIL,2020,4.60430000000
2030,Central,26,Central,ON_WIND,2020,0.41690000000
2030,Central,27,Central,PV_GND,2020,1.34600000000
2030,Central,28,Central,PV_SSG,2020,15.16090000000
2030,Central,98,Western,CC_GAS,2025,1000.00000000000
2030,Eastern,6,BajaCalif,ON_WIND,2025,1497.96000000000
2030,Eastern,15,BajaCalifSouth,ON_WIND,2025,742.92200000000
2030,Eastern,21,Central,CC_GAS,2025,885.01370000000
2030,Eastern,29,Eastern,BIO,2020,15.98880000000
2030,Eastern,31,Eastern,CC_GAS,2020,221.94090000000
2030,Eastern,34,Eastern,COAL,2020,175.23670000000
2030,Eastern,37,Eastern,CSP,2020,154.93640000000
2030,Eastern,41,Eastern,HYD_LS,2020,233.85840000000
2030,Eastern,42,Eastern,NUCL,2020,103.05960000000
2030,Eastern,43,Eastern,OC_GAS,2020,74.45020000000
2030,Eastern,44,Eastern,OC_OIL,2020,3.00660000000
2030,Eastern,45,Eastern,ON_WIND,2020,189.64620000000
2030,Eastern,47,Eastern,PV_GND,2020,27.80210000000
2030,Eastern,48,Eastern,PV_SSG,2020,9.75950000000
2030,Western,21,Central,CC_GAS,2025,984.83910000000
2030,Western,32,Eastern,CC_GAS,2025,1000.00000000000
