RegionName,Attribute,Time,electricity,hfo,gas,geo,heat,CO2f,wind,cook,biomass,water,uranium,solar,coal,diesel,e_demand
Unit,-,Year,PJ,PJ,PJ,PJ,PJ,kt,PJ,PJ,PJ,PJ,PJ,PJ,PJ,PJ,PJ
Western,Imports,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Imports,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Imports,2035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Imports,2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Imports,2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Imports,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Imports,2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Imports,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Imports,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Imports,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Imports,2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Imports,2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Imports,2085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Imports,2090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Imports,2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Imports,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northwest,Imports,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northwest,Imports,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northwest,Imports,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northwest,Imports,2035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northwest,Imports,2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northwest,Imports,2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northwest,Imports,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northwest,Imports,2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northwest,Imports,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northwest,Imports,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northwest,Imports,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northwest,Imports,2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northwest,Imports,2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northwest,Imports,2085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northwest,Imports,2090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northwest,Imports,2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northwest,Imports,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North,Imports,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North,Imports,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North,Imports,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North,Imports,2035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North,Imports,2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North,Imports,2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North,Imports,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North,Imports,2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North,Imports,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North,Imports,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North,Imports,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North,Imports,2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North,Imports,2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North,Imports,2085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North,Imports,2090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North,Imports,2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North,Imports,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northeast,Imports,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northeast,Imports,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northeast,Imports,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northeast,Imports,2035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northeast,Imports,2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northeast,Imports,2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northeast,Imports,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northeast,Imports,2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northeast,Imports,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northeast,Imports,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northeast,Imports,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northeast,Imports,2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northeast,Imports,2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northeast,Imports,2085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northeast,Imports,2090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northeast,Imports,2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northeast,Imports,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BajaCalif,Imports,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BajaCalif,Imports,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BajaCalif,Imports,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BajaCalif,Imports,2035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BajaCalif,Imports,2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BajaCalif,Imports,2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BajaCalif,Imports,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BajaCalif,Imports,2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BajaCalif,Imports,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BajaCalif,Imports,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BajaCalif,Imports,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BajaCalif,Imports,2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BajaCalif,Imports,2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BajaCalif,Imports,2085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BajaCalif,Imports,2090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BajaCalif,Imports,2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BajaCalif,Imports,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BajaCalifSouth,Imports,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BajaCalifSouth,Imports,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BajaCalifSouth,Imports,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BajaCalifSouth,Imports,2035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BajaCalifSouth,Imports,2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BajaCalifSouth,Imports,2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BajaCalifSouth,Imports,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BajaCalifSouth,Imports,2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BajaCalifSouth,Imports,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BajaCalifSouth,Imports,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BajaCalifSouth,Imports,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BajaCalifSouth,Imports,2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BajaCalifSouth,Imports,2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BajaCalifSouth,Imports,2085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BajaCalifSouth,Imports,2090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BajaCalifSouth,Imports,2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BajaCalifSouth,Imports,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsular,Imports,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsular,Imports,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsular,Imports,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsular,Imports,2035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsular,Imports,2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsular,Imports,2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsular,Imports,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsular,Imports,2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsular,Imports,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsular,Imports,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsular,Imports,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsular,Imports,2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsular,Imports,2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsular,Imports,2085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsular,Imports,2090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsular,Imports,2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsular,Imports,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
